productname                                        ListPrice             ProductSubCategory                                 ProductCategory                                    PriceRank            CategoryPriceRank    Top5PriceInCategory
-------------------------------------------------- --------------------- -------------------------------------------------- -------------------------------------------------- -------------------- -------------------- -------------------
All-Purpose Bike Stand                             159.00                Bike Stands                                        Accessories                                        1                    1                    YES
Touring-Panniers, Large                            125.00                Panniers                                           Accessories                                        1                    2                    YES
Hitch Rack - 4-Bike                                120.00                Bike Racks                                         Accessories                                        1                    3                    YES
Hydration Pack - 70 oz.                            54.99                 Hydration Packs                                    Accessories                                        1                    4                    YES
Headlights - Weatherproof                          44.99                 Lights                                             Accessories                                        1                    5                    YES
HL Mountain Tire                                   35.00                 Tires and Tubes                                    Accessories                                        1                    6                    NO
Sport-100 Helmet, Blue                             34.99                 Helmets                                            Accessories                                        1                    7                    NO
Headlights - Dual-Beam                             34.99                 Lights                                             Accessories                                        2                    7                    NO
Sport-100 Helmet, Red                              34.99                 Helmets                                            Accessories                                        3                    7                    NO
Sport-100 Helmet, Black                            34.99                 Helmets                                            Accessories                                        4                    7                    NO
HL Road Tire                                       32.60                 Tires and Tubes                                    Accessories                                        1                    11                   NO
ML Mountain Tire                                   29.99                 Tires and Tubes                                    Accessories                                        1                    12                   NO
Touring Tire                                       28.99                 Tires and Tubes                                    Accessories                                        1                    13                   NO
Cable Lock                                         25.00                 Locks                                              Accessories                                        1                    14                   NO
Mountain Pump                                      24.99                 Pumps                                              Accessories                                        1                    15                   NO
ML Road Tire                                       24.99                 Tires and Tubes                                    Accessories                                        2                    15                   NO
LL Mountain Tire                                   24.99                 Tires and Tubes                                    Accessories                                        3                    15                   NO
Fender Set - Mountain                              21.98                 Fenders                                            Accessories                                        1                    18                   NO
LL Road Tire                                       21.49                 Tires and Tubes                                    Accessories                                        1                    19                   NO
Minipump                                           19.99                 Pumps                                              Accessories                                        1                    20                   NO
Taillights - Battery-Powered                       13.99                 Lights                                             Accessories                                        1                    21                   NO
Mountain Bottle Cage                               9.99                  Bottles and Cages                                  Accessories                                        1                    22                   NO
Road Bottle Cage                                   8.99                  Bottles and Cages                                  Accessories                                        4                    23                   NO
Bike Wash - Dissolver                              7.95                  Cleaners                                           Accessories                                        1                    24                   NO
Touring Tire Tube                                  4.99                  Tires and Tubes                                    Accessories                                        1                    25                   NO
Mountain Tire Tube                                 4.99                  Tires and Tubes                                    Accessories                                        2                    25                   NO
Water Bottle - 30 oz.                              4.99                  Bottles and Cages                                  Accessories                                        3                    25                   NO
Road Tire Tube                                     3.99                  Tires and Tubes                                    Accessories                                        1                    28                   NO
Patch Kit/8 Patches                                2.29                  Tires and Tubes                                    Accessories                                        1                    29                   NO
Road-150 Red, 62                                   3578.27               Road Bikes                                         Bikes                                              1                    1                    YES
Road-150 Red, 44                                   3578.27               Road Bikes                                         Bikes                                              2                    1                    YES
Road-150 Red, 48                                   3578.27               Road Bikes                                         Bikes                                              3                    1                    YES
Road-150 Red, 52                                   3578.27               Road Bikes                                         Bikes                                              4                    1                    YES
Road-150 Red, 56                                   3578.27               Road Bikes                                         Bikes                                              5                    1                    YES
Mountain-100 Silver, 38                            3399.99               Mountain Bikes                                     Bikes                                              1                    6                    NO
Mountain-100 Silver, 42                            3399.99               Mountain Bikes                                     Bikes                                              2                    6                    NO
Mountain-100 Silver, 44                            3399.99               Mountain Bikes                                     Bikes                                              3                    6                    NO
Mountain-100 Silver, 48                            3399.99               Mountain Bikes                                     Bikes                                              4                    6                    NO
Mountain-100 Black, 38                             3374.99               Mountain Bikes                                     Bikes                                              1                    10                   NO
Mountain-100 Black, 42                             3374.99               Mountain Bikes                                     Bikes                                              2                    10                   NO
Mountain-100 Black, 44                             3374.99               Mountain Bikes                                     Bikes                                              3                    10                   NO
Mountain-100 Black, 48                             3374.99               Mountain Bikes                                     Bikes                                              4                    10                   NO
Road-250 Red, 44                                   2443.35               Road Bikes                                         Bikes                                              1                    14                   NO
Road-250 Red, 48                                   2443.35               Road Bikes                                         Bikes                                              2                    14                   NO
Road-250 Red, 52                                   2443.35               Road Bikes                                         Bikes                                              3                    14                   NO
Road-250 Red, 58                                   2443.35               Road Bikes                                         Bikes                                              4                    14                   NO
Road-250 Black, 44                                 2443.35               Road Bikes                                         Bikes                                              5                    14                   NO
Road-250 Black, 48                                 2443.35               Road Bikes                                         Bikes                                              6                    14                   NO
Road-250 Black, 52                                 2443.35               Road Bikes                                         Bikes                                              7                    14                   NO
Road-250 Black, 58                                 2443.35               Road Bikes                                         Bikes                                              8                    14                   NO
Touring-1000 Yellow, 46                            2384.07               Touring Bikes                                      Bikes                                              1                    22                   NO
Touring-1000 Yellow, 50                            2384.07               Touring Bikes                                      Bikes                                              2                    22                   NO
Touring-1000 Yellow, 54                            2384.07               Touring Bikes                                      Bikes                                              3                    22                   NO
Touring-1000 Yellow, 60                            2384.07               Touring Bikes                                      Bikes                                              4                    22                   NO
Touring-1000 Blue, 46                              2384.07               Touring Bikes                                      Bikes                                              5                    22                   NO
Touring-1000 Blue, 50                              2384.07               Touring Bikes                                      Bikes                                              6                    22                   NO
Touring-1000 Blue, 54                              2384.07               Touring Bikes                                      Bikes                                              7                    22                   NO
Touring-1000 Blue, 60                              2384.07               Touring Bikes                                      Bikes                                              8                    22                   NO
Mountain-200 Silver, 38                            2319.99               Mountain Bikes                                     Bikes                                              1                    30                   NO
Mountain-200 Silver, 42                            2319.99               Mountain Bikes                                     Bikes                                              2                    30                   NO
Mountain-200 Silver, 46                            2319.99               Mountain Bikes                                     Bikes                                              3                    30                   NO
Mountain-200 Black, 38                             2294.99               Mountain Bikes                                     Bikes                                              1                    33                   NO
Mountain-200 Black, 42                             2294.99               Mountain Bikes                                     Bikes                                              2                    33                   NO
Mountain-200 Black, 46                             2294.99               Mountain Bikes                                     Bikes                                              3                    33                   NO
Road-350-W Yellow, 40                              1700.99               Road Bikes                                         Bikes                                              1                    36                   NO
Road-350-W Yellow, 42                              1700.99               Road Bikes                                         Bikes                                              2                    36                   NO
Road-350-W Yellow, 44                              1700.99               Road Bikes                                         Bikes                                              3                    36                   NO
Road-350-W Yellow, 48                              1700.99               Road Bikes                                         Bikes                                              4                    36                   NO
Road-450 Red, 58                                   1457.99               Road Bikes                                         Bikes                                              1                    40                   NO
Road-450 Red, 60                                   1457.99               Road Bikes                                         Bikes                                              2                    40                   NO
Road-450 Red, 44                                   1457.99               Road Bikes                                         Bikes                                              3                    40                   NO
Road-450 Red, 48                                   1457.99               Road Bikes                                         Bikes                                              4                    40                   NO
Road-450 Red, 52                                   1457.99               Road Bikes                                         Bikes                                              5                    40                   NO
Touring-2000 Blue, 60                              1214.85               Touring Bikes                                      Bikes                                              1                    45                   NO
Touring-2000 Blue, 46                              1214.85               Touring Bikes                                      Bikes                                              2                    45                   NO
Touring-2000 Blue, 50                              1214.85               Touring Bikes                                      Bikes                                              3                    45                   NO
Touring-2000 Blue, 54                              1214.85               Touring Bikes                                      Bikes                                              4                    45                   NO
Road-550-W Yellow, 38                              1120.49               Road Bikes                                         Bikes                                              1                    49                   NO
Road-550-W Yellow, 40                              1120.49               Road Bikes                                         Bikes                                              2                    49                   NO
Road-550-W Yellow, 42                              1120.49               Road Bikes                                         Bikes                                              3                    49                   NO
Road-550-W Yellow, 44                              1120.49               Road Bikes                                         Bikes                                              4                    49                   NO
Road-550-W Yellow, 48                              1120.49               Road Bikes                                         Bikes                                              5                    49                   NO
Mountain-300 Black, 38                             1079.99               Mountain Bikes                                     Bikes                                              1                    54                   NO
Mountain-300 Black, 40                             1079.99               Mountain Bikes                                     Bikes                                              2                    54                   NO
Mountain-300 Black, 44                             1079.99               Mountain Bikes                                     Bikes                                              3                    54                   NO
Mountain-300 Black, 48                             1079.99               Mountain Bikes                                     Bikes                                              4                    54                   NO
Road-650 Red, 58                                   782.99                Road Bikes                                         Bikes                                              1                    58                   NO
Road-650 Red, 60                                   782.99                Road Bikes                                         Bikes                                              2                    58                   NO
Road-650 Red, 62                                   782.99                Road Bikes                                         Bikes                                              3                    58                   NO
Road-650 Red, 44                                   782.99                Road Bikes                                         Bikes                                              4                    58                   NO
Road-650 Red, 48                                   782.99                Road Bikes                                         Bikes                                              5                    58                   NO
